location,depot,district,region,created_at
Borrowdale N,BINGA DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-02-25
Parkridge Estate,CONCESSION DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-06-20
Widdecombe,CHIMANIMANI  DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-02-13
Marimba Park,KWEKWE URBAN DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-12-11
Art Farm,BYO EAST URBAN  DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-11-03
Mutare Rd,JURU DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-02-25
Bumba,SOUTHERTON DEPOT,HR EAST DISTRICT,HARARE REGION,2024-05-22
Colne Valley,MUTARE URBAN  DEPOT,HR EAST DISTRICT,WESTERN REGION,2024-03-23
Southlea Park,ZENGEZA DEPOT,GWANDA DISTRICT,HARARE REGION,2024-09-11
Glen Lorne,MIDDLE SABI  DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-08-24
Surface Investments,BROMLEY DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-01-20
Borrowdale,MASHAVA  DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-08-25
Crowborough,MUTOKO DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-04-14
Bannockburn,CENTENARY DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-10-03
Rhodesville,CONCESSION DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-12-17
Pension Farm,CENTENARY DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-10-03
Helensvale S,NYANGA  DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-01-08
Hat-Twentydales -Part,NYANGA  DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-01-31
BNR,CHEGUTU RURAL DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-01-06
Reiforntein,CHIMANIMANI  DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-07-18
Little Norfolk,KADOMA RURAL DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-04-24
Adams Barracks,CENTENARY DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-09-14
Avondale West,NKETA DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-04-04
Ambleside,GWERU URBAN DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-03-17
Alex Park - Part,REDCLIFF DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-01-25
Carrick,MUTOKO DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-05-15
Spring Heights,RUSAPE  DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-06-09
All of Masvingo Province,NYANGA  DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-05-21
Spring Heights,BEATRICE DEPOT,GWANDA DISTRICT,HARARE REGION,2024-10-12
Glen Norah A - Part,CBD DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-03-01
Highlands - Part,REDCLIFF DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-03-13
Chedgelow,MHANGURA DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-09-09
Crowborough,KWEKWE URBAN DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-11-22
Art Farm,MABVUKU DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-05-12
Prospect West,ZENGEZA DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-08-01
Greengrove,CHIMANIMANI  DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-04-04
Reiforntein,CHEGUTU RURAL DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-06-12
Somerby Area,BINDURA DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-02-24
Amby,JURU DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-09-11
Mabvuku,GWERU URBAN DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-07-31
Reiforntein - Part,MAKONI DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-06-07
Parktown,BULAWAYO ENVIRONS  DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-06-25
Greendale - Part,GLENVIEW DEPOT,GWERU DISTRICT ,HARARE REGION,2024-08-19
Chadcombe,MVUMA DEPOT,MARONDERA DISTRICT ,EASTERN REGION,2024-05-25
Amalinda,BEITBRIDGE DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-02-18
Hillside,BINDURA DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-07-22
Lincoln Green,CHIVHU DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-10-02
Tafara,MASVINGO  DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-09-20
Matidoda,CHIVHU DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-12-30
Avenues,GWERU URBAN DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-12-08
Hunyani Poort,BINDURA DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-10-29
Avonlea - Part,NKETA DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-04-09
Greendale - Part,MUTOKO DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-05-06
Kensington,CBD DEPOT,GWERU DISTRICT ,HARARE REGION,2024-06-08
The Grange,CHINHOYI DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-02-10
Bikita Village,BORROWDALE DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-09-21
Spring Heights,CHIMANIMANI  DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-11-13
Glen Wood,BULAWAYO ENVIRONS  DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-03-21
Westwood,KADOMA DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-02-18
Harava Dam,BROMLEY DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-05-06
Avonlea West,KADOMA RURAL DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-02-09
Borrowdale N,KAROI DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-06-01
Lake Chivero,CHIMANIMANI  DEPOT,BINDURA  DISTRICT ,WESTERN REGION,2024-05-22
Burma Valley,BINGA DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-10-31
Getwyn,MABVUKU DEPOT,CHITUNGWIZA DISTRICT,SOUTHERN REGION,2024-07-17
Mayfield Park,MVUMA DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-02-17
Northwood,GWERU ENVIRONS DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-05-05
Vainona,KADOMA RURAL DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-10-04
Hatlands Farm,BEATRICE DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-01-30
Chedgelow,CHINHOYI DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-09-16
Gunhill,NYANGA  DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-08-14
Pension Farm,MVUMA DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-08-22
Southlea Park,MASVINGO  DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-11-07
Epworth,BINDURA RURAL DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-02-21
Wilmington Park,MT DARWIN DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-11-03
"Jaggers, Chibuku, DMB",KADOMA DEPOT,HR NORTH DISTRICT,WESTERN REGION,2024-08-20
Umwinsidale,KADOMA DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-07-13
Anderson school,MT DARWIN DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-08-28
Avila,MARONDERA RURAL DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-11-15
Pension Farm,BORROWDALE DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-07-02
Mandara,ENTUMBANE DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-01-07
Warren Park E,GWERU ENVIRONS DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-08-08
Machipisa,MARONDERA DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-12-22
Anderson school,SHURUGWI DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-08-04
Bangala,GWANDA DEPOT,GWERU DISTRICT ,HARARE REGION,2024-06-27
Greendcroft,REDCLIFF DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-12-16
Hatfield West,MUTORASHANGA DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-09-20
Southern Granite,MARONDERA RURAL DEPOT,HWANGE DISTRICT,HARARE REGION,2024-01-26
Bangazani Dam,HWANGE DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-01-06
Crowborough,MVUMA DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-12-18
Athlone,GWANDA DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-11-11
Barrington Rd Area,BORROWDALE DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-01-04
Glen Lorne West,NORTON DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-04-17
Somerby Area,CONCESSION DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-10-03
Bikita Minerals,REDCLIFF DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-01-19
Belgravia,MASVINGO  DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-10-05
Alex Park - Part,WARREN PARK DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-10-26
Gunhill,MUTARE URBAN  DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-09-29
Alex Park - Part,TURK MINE DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-10-18
Mt Pleasant & Heights,KWEKWE URBAN DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-05-03
Africa University,MIDDLE SABI  DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-02-10
Ridgeview,ENTUMBANE DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-09-20
Eastlea,ESIGODINI DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-02-17
Machipisa,CHEGUTU DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-12-05
Bothashof,BINDURA DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-11-14
Kutsaga,ESIGODINI DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-06-06
BNR,CHIVHU DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-02-18
Kutsaga,WARREN PARK DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-01-30
Borrowdale,GWANDA DEPOT,GWERU DISTRICT ,HARARE REGION,2024-02-08
Ruwa,CHIVHU DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-08-05
Lincoln Green,FILABUSI DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-12-19
Glen Norah,BEITBRIDGE DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-08-20
Tafara,BROMLEY DEPOT,BINDURA  DISTRICT ,WESTERN REGION,2024-06-21
Colray,CHEGUTU DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-05-20
Upper Mt Hampden,REDCLIFF DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-06-01
Mayfield Park,CBD DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-06-10
Bikita Village,MABELREIGN DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-05-21
Emerald Hill,MARONDERA DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-04-13
Wilmington Park,CHIVHU DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-01-23
Mbare,BEATRICE DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-06-10
Spring Heights,PLUMTREE DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-02-15
Cotswold Hills,MUTARE ENVIRONS  DEPOT,GWANDA DISTRICT,HARARE REGION,2024-01-06
Wilmington Park,BINGA DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-09-17
Mbare,NORTON DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-01-23
All of Masvingo Province,BEATRICE DEPOT,MARONDERA DISTRICT ,EASTERN REGION,2024-01-07
Parkridge,CHINHOYI DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-03-01
Borrowdale Brook,WATERFALLS DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-10-11
Surface Investments,FILABUSI DEPOT,HR EAST DISTRICT,HARARE REGION,2024-05-30
Marimba Park,MASVINGO  DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-07-09
Birchenough Bridge,REDCLIFF DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-07-26
Carrick,BROMLEY DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-08-11
Gunhill,NEMBUDZIYA DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-02-03
Langford Farm,NORTON DEPOT,GWERU DISTRICT ,HARARE REGION,2024-03-09
Avondale West,ENTUMBANE DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-05-09
Machipisa,KADOMA RURAL DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-03-17
Chedgelow,KADOMA RURAL DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-10-27
Eastlea,MT DARWIN DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-08-03
Somerby Area,SHURUGWI DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-12-30
Kambuzuma South,GOKWE DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-04-24
S Mazorodze Areas,WATERFALLS DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-10-06
Guildform Estate,CHIREDZI  DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-02-01
Harava Dam,NKAYI DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-02-22
Pension Farm,CHIMANIMANI  DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-07-01
Paradise Park,MT DARWIN DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-06-24
Highlands - Part,NORTON DEPOT,GWANDA DISTRICT,HARARE REGION,2024-07-15
Guildform Estate,KARIBA DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-10-07
Carrick,MABELREIGN DEPOT,GWANDA DISTRICT,HARARE REGION,2024-05-15
Quinnington S,NKETA DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-03-01
Africa University,MUTOKO DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-09-05
Ambleside,MIDDLE SABI  DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-05-29
Sentosa,SHURUGWI DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-03-31
Carrick,TURK MINE DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-08-07
"Seke Unit A, B, C, D, E",MUTARE URBAN  DEPOT,HR NORTH DISTRICT,WESTERN REGION,2024-01-25
Glenview - Part,BINGA DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-07-05
Milton Park,RUSAPE  DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-02-05
Tafara,MVUMA DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-01-10
Mabelreign N,HWANGE DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-07-26
Winchdon,GLENVIEW DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-02-19
St Mary’s,ZENGEZA DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-04-06
Rolf Valley South,CHIPINGE  DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-08-25
Uplands,VICTORIA FALLS DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-05-08
Hat-Twentydales -Part,RUSAPE  DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-08-26
Lake Chivero,GOKWE DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-05-09
Malvern,HWANGE DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-11-03
Prospect West,BEITBRIDGE DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-09-23
Harare Rd W,NORTON DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-03-01
Bordervale,GUTU  DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-03-13
Sentosa,MARONDERA DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-03-25
Spring Heights,BEITBRIDGE DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-12-23
"Murisa T/Ship, Dema",ESIGODINI DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-07-12
"Seke Unit B, Makoni",MUTORASHANGA DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-02-19
